id,job_title,input_part_a,input_part_b,output_part,combine_duration_seconds
1,1,101,102,105,5
2,1,103,104,106,5
3,1,105,106,107,5
4,2,201,202,205,5
5,2,203,204,206,5
6,2,205,206,207,5
7,3,301,302,305,5
8,3,303,304,306,5
9,3,305,306,307,5
10,4,401,402,405,5
11,4,403,404,406,5
12,4,405,406,407,5
13,5,501,502,505,5
14,5,503,504,506,5
15,5,505,506,507,5
16,6,601,602,605,5
17,6,603,604,606,5
18,6,605,606,607,5
19,7,701,702,705,5
20,7,703,704,706,5
21,7,705,706,707,5
22,8,801,802,805,5
23,8,803,804,806,5
24,8,805,806,807,5
