id,content
1,"사랑하는 혜인, 오늘 첫 출근을 했어."
2,"학교 주변은 여전히 흙먼지 날리는 비포장도로가 이어져 있고 낡은 상가 건물들은 세월의 무게를 이기지 못하고 있어."
4,"그래도 버스 노선은 꽤 늘었더라. 우리가 다닐 땐 30분은 족히 기다려야 했던 마을버스 한 대 뿐이었는데."
6,"창 밖으로 내다본 하늘은 눈이 시리도록 파랬어. 구름 한 점 없이 맑고 높은 가을 하늘. 이 시기에 첫 출근이라니 좀 어색하지."
7,"학교 정문에 들어서는데, 햇살이 너무 눈부셨어. 온 세상을 다 비출 듯 쏟아지는 찬란한 빛. 우리의 학교는 늘 어둠에 잠겨 있었는데."
8,"끝없이 내리는 빗소리, 창문을 두드리는 바람 소리, 그리고 희미한 달빛에 의지해 서로의 하얀 얼굴을 확인하던 그 밤들."
9,그래도 나는 그 어둠이 좋았어. 네가 비 오는 걸 좋아했으니까. 빗소리를 들으며 네 옆에 앉아 있으면 그 어떤 일들도 아무렇지 않게 되어서.
10,그래서 지금의 학교가 별로 마음에 들지는 않아.
11,교복 치마 자락을 스치며 걷던 그 밤의 복도가 떠올라. 서로의 리본을 매어주며 닿았던 손끝의 떨림도.
12,"혜인, 너는 어떨지 궁금해. 내가 눈 속에 담지 못했던 사계절 모든 순간 너의 아름다운 모습이, 아니. "
13,궁금할 뿐이야. 너는 항상 예뻤어. 항상 빨갛게 부어있던 두 눈도 마디마다 부르튼 손끝도 네가 사랑스럽지 않은 순간은 단 한 번도 없었어.
14,"혜인, 너는 지금 어디에 있을까? 내가 아무리 잠시라도, 대체 너를 어떻게 잊었을까?"
15,네가 밀어내는 대로 밀려났던 그 순간을 계속 후회하고 있어. 이제 다시는 그러지 않을 거야.
16,사랑하는 혜인. 오늘은 꿈 속에 네가 나왔어. 멜라토닌을 먹은 후로는 꿈의 내용이 상세하고 길어져.
17,"정작 잠들어있는 시간은 얼마 안 되어서 약간 피곤하기도 하지만, 네 얼굴을 조금이라도 더 선명하게 볼 수 있으니 괜찮아."
18,"꿈 속에서 우리는 여전히 그곳에 있었어. 창틀을 비추는 달빛, 끊임없이 들리는 빗소리."
19,"혜인, 그 때 내 안중에 우리가 앞으로 어떻게 살아갈 지에 관한 건 없었어. 영원히 아침은 오지 않으니까. "
20,"다만 눈맞춤이 지겨워지고, 서로의 체온이 별다른 위안이 되지 않을 날이 언젠가 올 것이라는 건 알고 있었어. "
21,하지만 나는 아무래도 괜찮았던 것 같아. 그럴 때가 오면 그냥 같이 죽어버리면 되니까.
