case_group,node_id,pool_key,node_key,stage_index,stage_key,title_key,target_area_type,target_object_type,interact_id,action_group_key,storylet_type,route_type,claim_policy,reward_kind,risk_level,suspicion_tag,is_victory_storylet,required_all_tags,required_any_tags,blocked_tags,grant_tags,final_tags,success_text_key
record,4201,WRITING_CART,CLUE-WRITING-CART,2,CLUE,pool/4201/title,22,5,701000073,object_5,route,info,unique,clue_tag,1,,false,start_writing|stage_1,,stage_2,stage_2|choice_writing_cart|topic_paper|place_library|lead_page,,pool/4201/success
record,4202,WRITING_TRASH,CLUE-WRITING-TRASH,2,CLUE,pool/4202/title,22,1,701000080,object_1,route,safe,unique,clue_tag,2,,false,start_writing|stage_1,,stage_2,stage_2|choice_writing_trash|topic_paper|place_library|lead_discarded,,pool/4202/success
record,4203,WRITING_WINDOW,CLUE-WRITING-WINDOW,2,CLUE,pool/4203/title,32,4,701000083,object_4,route,risk_high_reward,unique,clue_tag,3,,false,start_writing|stage_1,,stage_2,stage_2|choice_writing_window|topic_window|place_exam|lead_fingerprint,,pool/4203/success
record,4211,BROADCAST_BOARD,CLUE-BROADCAST-BOARD,2,CLUE,pool/4211/title,40,4,701000062,object_4,route,info,unique,clue_tag,1,,false,start_broadcast|stage_1,,stage_2,stage_2|choice_broadcast_board|topic_sound|place_classroom|lead_time,,pool/4211/success
record,4212,BROADCAST_STAGE,CLUE-BROADCAST-STAGE,2,CLUE,pool/4212/title,13,11,701000001,object_11,route,safe,unique,clue_tag,2,,false,start_broadcast|stage_1,,stage_2,stage_2|choice_broadcast_stage|topic_sound|place_hall|lead_script,,pool/4212/success
record,4213,BROADCAST_BAG,CLUE-BROADCAST-BAG,2,CLUE,pool/4213/title,20,12,701000061,object_12,route,risk_high_reward,unique,clue_tag,3,,false,start_broadcast|stage_1,,stage_2,stage_2|choice_broadcast_bag|topic_sound|place_classroom|lead_call,,pool/4213/success
record,4221,ATTENDANCE_DESK,CLUE-ATTENDANCE-DESK,2,CLUE,pool/4221/title,20,5,701000050,object_5,route,safe,unique,clue_tag,2,,false,start_attendance|stage_1,,stage_2,stage_2|choice_attendance_desk|topic_mark|place_classroom|lead_mark,,pool/4221/success
record,4222,ATTENDANCE_MEETING,CLUE-ATTENDANCE-MEETING,2,CLUE,pool/4222/title,12,7,701000011,object_7,route,info,unique,clue_tag,1,,false,start_attendance|stage_1,,stage_2,stage_2|choice_attendance_meeting|topic_mark|place_office|lead_minutes,,pool/4222/success
record,4223,ATTENDANCE_CLEANING,CLUE-ATTENDANCE-CLEANING,2,CLUE,pool/4223/title,30,10,701000069,object_10,route,risk_high_reward,unique,clue_tag,3,,false,start_attendance|stage_1,,stage_2,stage_2|choice_attendance_cleaning|topic_cleaning|place_classroom|lead_stain,,pool/4223/success
record,4231,CONFISCATED_CABINET,CLUE-CONFISCATED-CABINET,2,CLUE,pool/4231/title,12,6,701000010,object_6,route,info,unique,clue_tag,1,,false,start_confiscated|stage_1,,stage_2,stage_2|choice_confiscated_cabinet|topic_object|place_office|lead_lost_item,,pool/4231/success
record,4232,CONFISCATED_BASKET,CLUE-CONFISCATED-BASKET,2,CLUE,pool/4232/title,14,10,701000084,object_10,route,safe,unique,clue_tag,2,,false,start_confiscated|stage_1,,stage_2,stage_2|choice_confiscated_basket|topic_object|place_storage|lead_small_item,,pool/4232/success
record,4233,CONFISCATED_PRINTER,CLUE-CONFISCATED-PRINTER,2,CLUE,pool/4233/title,10,6,701000082,object_6,route,risk_high_reward,unique,clue_tag,3,,false,start_confiscated|stage_1,,stage_2,stage_2|choice_confiscated_printer|topic_object|place_admin|lead_blank_list,,pool/4233/success
record,4241,ROLLCALL_STAGE,CLUE-ROLLCALL-STAGE,2,CLUE,pool/4241/title,13,11,701000001,object_11,route,info,unique,clue_tag,1,,false,start_rollcall|stage_1,,stage_2,stage_2|choice_rollcall_stage|topic_order|place_hall|lead_order,,pool/4241/success
record,4242,ROLLCALL_STORAGE,CLUE-ROLLCALL-STORAGE,2,CLUE,pool/4242/title,14,6,701000063,object_6,route,safe,unique,clue_tag,2,,false,start_rollcall|stage_1,,stage_2,stage_2|choice_rollcall_storage|topic_order|place_storage|lead_list,,pool/4242/success
record,4243,ROLLCALL_BASKET,CLUE-ROLLCALL-BASKET,2,CLUE,pool/4243/title,13,10,701000002,object_10,route,risk_high_reward,unique,clue_tag,3,,false,start_rollcall|stage_1,,stage_2,stage_2|choice_rollcall_basket|topic_order|place_hall|lead_name_tag,,pool/4243/success
record,4301,PAPER_DESK,POOL-PAPER-DESK,3,FOLLOW,pool/4301/title,20,5,701000050,object_5,route,info,unique,clue_tag,1,,false,stage_2|topic_paper,,stage_3,stage_3|evidence_note|place_classroom,,pool/4301/success
record,4302,PAPER_MEETING,POOL-PAPER-MEETING,3,FOLLOW,pool/4302/title,12,7,701000011,object_7,route,safe,unique,clue_tag,2,,false,stage_2|topic_paper,,stage_3,stage_3|evidence_minutes|place_office,,pool/4302/success
record,4303,PAPER_WINDOW,POOL-PAPER-WINDOW,3,FOLLOW,pool/4303/title,32,4,701000083,object_4,route,risk_high_reward,unique,clue_tag,3,,false,stage_2|topic_paper,,stage_3,stage_3|evidence_window|place_exam,,pool/4303/success
record,4311,SOUND_DEVICE,POOL-SOUND-DEVICE,3,FOLLOW,pool/4311/title,42,9,701000076,object_9,route,info,unique,clue_tag,1,,false,stage_2|topic_sound,,stage_3,stage_3|evidence_audio|place_broadcast,,pool/4311/success
record,4312,SOUND_STAGE,POOL-SOUND-STAGE,3,FOLLOW,pool/4312/title,13,11,701000001,object_11,route,safe,unique,clue_tag,2,,false,stage_2|topic_sound,,stage_3,stage_3|evidence_stage|place_hall,,pool/4312/success
record,4313,SOUND_BOARD,POOL-SOUND-BOARD,3,FOLLOW,pool/4313/title,40,4,701000062,object_4,route,risk_high_reward,unique,clue_tag,3,,false,stage_2|topic_sound,,stage_3,stage_3|evidence_board|place_classroom,,pool/4313/success
