"item_id","response_tags","response_power"
"201000014","[""soundproof""]","1"
"301000026","[""soundproof"",""release""]","1"
"301000031","[""soundproof"",""record""]","1"
"301000111","[""soundproof""]","3"
"401000005","[""soundproof""]","5"
"301000001","[""record""]","1"
"301000028","[""record""]","1"
"301000030","[""record""]","1"
"301000131","[""record""]","3"
"401000007","[""record""]","5"
"301000025","[""release""]","1"
"301000035","[""release""]","1"
"301000121","[""release""]","3"
"401000006","[""release""]","5"
