id,area_type,title_kr,title_en,title_jp,description_kr,description_en,description_jp,accept_label_kr,accept_label_en,accept_label_jp,reject_label_kr,reject_label_en,reject_label_jp
188101,10,압수 목록,Confiscation List,没収リスト,책상 위에 접힌 압수 목록이 놓여 있습니다.\n익숙한 이름 몇 개가 붉은 펜으로 동그라미 쳐져 있습니다.,A folded confiscation list lies on the desk.\nSeveral familiar names are circled in red.,机の上に折りたたまれた没収リストがあります。\n見覚えのある名前が赤ペンで丸く囲まれています。,목록을 본다,Read the list,リストを見る,지나간다,Move on,通り過ぎる
188102,12,전화벨 응답,Ringing Phone,鳴る電話,빈 교무실 전화기가 짧게 울립니다.\n받기 전까지는 누가 걸었는지 알 수 없습니다.,The empty staff room phone rings once.\nYou will not know who called until you answer.,誰もいない職員室の電話が短く鳴ります。\n取るまで相手は分かりません。,수화기를 든다,Pick it up,受話器を取る,무시한다,Ignore it,無視する
188103,13,조회 순서,Assembly Order,朝礼の順番,강당 바닥에 구겨진 조회 순서표가 떨어져 있습니다.\n몇몇 이름 옆에 낯선 표시가 남아 있습니다.,A crumpled assembly order lies on the gym floor.\nStrange marks remain beside several names.,講堂の床にしわくちゃの朝礼順リストが落ちています。\nいくつかの名前の横に見慣れない印があります。,표시를 확인한다,Check the marks,印を確認する,내버려둔다,Leave it,放っておく
188104,14,닫힌 캐비넷,Closed Cabinet,閉じたキャビネット,창고 안쪽 캐비넷 문이 살짝 열려 있습니다.\n안에서는 종이가 긁히는 듯한 소리가 납니다.,A cabinet door in the storage room is slightly open.\nSomething inside sounds like paper scraping.,倉庫の奥のキャビネットが少し開いています。\n中から紙をこするような音がします。,캐비넷을 연다,Open it,開ける,뒤로 물러난다,Step back,後ずさる
188105,20,수상한 처방전,Suspicious Prescription,怪しい処方箋,보건실 침대 위에 이름 없는 처방전이 놓여 있습니다.\n복용 시간만 또렷하게 적혀 있습니다.,An unnamed prescription lies on the infirmary bed.\nOnly the dosage time is written clearly.,保健室のベッドに名前のない処方箋があります。\n服用時間だけがはっきり書かれています。,처방전을 읽는다,Read it,処方箋を読む,덮어둔다,Cover it,伏せておく
188106,22,읽으면 안 되는 쪽지,Do Not Read Note,読んではいけないメモ,도서관 책갈피 사이에서 쪽지가 삐져나와 있습니다.\n겉면에는 읽지 마 라고 적혀 있습니다.,A note sticks out from a library bookmark.\nThe outside says do not read.,図書館のしおりの間からメモが出ています。\n表には読むなと書かれています。,쪽지를 펼친다,Unfold it,メモを開く,책을 닫는다,Close the book,本を閉じる
188107,30,칠판의 이름,Name on the Board,黒板の名前,칠판 한가운데에 당신의 이름이 작게 적혀 있습니다.\n지운 흔적 주변에 분필가루가 남아 있습니다.,Your name is written small at the center of the board.\nChalk dust remains around erased marks.,黒板の真ん中にあなたの名前が小さく書かれています。\n消した跡の周りにチョークの粉が残っています。,칠판을 살핀다,Inspect the board,黒板を調べる,못 본 척한다,Pretend not to see,見なかったことにする
188108,32,틀린 답안지,Wrong Answer Sheet,間違った答案,고사실 책상 위 답안지의 오답만 진하게 표시되어 있습니다.\n마지막 칸에는 빈 이름표가 붙어 있습니다.,Only wrong answers are marked darkly on the desk sheet.\nA blank name tag is attached to the last slot.,試験室の机の答案には誤答だけが濃く印されています。\n最後の欄には空白の名札があります。,답안지를 확인한다,Check the sheet,答案を確認する,그냥 둔다,Leave it,そのままにする
188109,40,지워진 이름,Erased Names,消された名前,3-1 교실 칠판에는 이름들이 지워진 자국만 남아 있습니다.\n한 줄은 아직 완전히 마르지 않았습니다.,Only erased name marks remain on the 3-1 classroom board.\nOne line has not dried yet.,3-1教室の黒板には名前を消した跡だけが残っています。\n一行だけまだ完全には乾いていません。,자국을 비교한다,Compare the marks,跡を比べる,나간다,Leave,出る
188110,42,이상한 안내방송,Strange Announcement,奇妙な校内放送,방송실 스피커에서 낮은 잡음이 새어 나옵니다.\n녹음 버튼은 이미 눌린 상태입니다.,A low noise leaks from the broadcast room speaker.\nThe record button is already pressed.,放送室のスピーカーから低い雑音が漏れています。\n録音ボタンはすでに押されています。,녹음을 확인한다,Check the recording,録音を確認する,전원을 끈다,Turn it off,電源を切る
