"event_id","area_types","title_kr","title_en","title_jp","description_kr","description_en","description_jp","trigger_type","probability","timeout_seconds","default_choice_id","choice_id","sort_order","choice_text_kr","choice_text_en","choice_text_jp","result_text_kr","result_text_en","result_text_jp","choice_type","requirement_type","requirement_value","consume_item","mental_delta","stamina_delta","reward_item_id","reward_item_count","clue_reward_id","luck_success_rate","luck_failure_choice_id"
"188001","[30,40]","칠판의 이름","Name on the Board","黒板の名前","칠판 한가운데에 당신의 이름이 작게 적혀 있습니다.\n방금 쓴 것처럼 분필가루가 아직 떨어지고 있습니다.","Your name is written small at the center of the board.\nFresh chalk dust is still falling.","黒板の中央にあなたの名前が小さく書かれています。\n書かれたばかりのようにチョークの粉がまだ落ちています。","explore","35","8","18800101","18800101","1","분필가루를 조심히 모은다","Gather the chalk dust carefully","チョーク粉を慎重に集める","가루가 손끝에 묻었습니다.\n찝찝하지만 쓸 수 있을 만큼은 모았습니다.","The dust clung to your fingertips.\nUnpleasant, but enough to use.","粉が指先につきました。\n気味は悪いですが使える分は集まりました。","basic","none","","false","2","0","201000015","1","","0","0"
"188001","[30,40]","칠판의 이름","Name on the Board","黒板の名前","칠판 한가운데에 당신의 이름이 작게 적혀 있습니다.\n방금 쓴 것처럼 분필가루가 아직 떨어지고 있습니다.","Your name is written small at the center of the board.\nFresh chalk dust is still falling.","黒板の中央にあなたの名前が小さく書かれています。\n書かれたばかりのようにチョークの粉がまだ落ちています。","explore","35","8","18800101","18800105","2","글씨의 간격을 눈으로 잰다","Measure the letter spacing","文字の間隔を見る","글씨의 간격을 기억했습니다.\n비슷한 흔적은 다음부터 더 빨리 보일 것 같습니다.","You remembered the spacing of the letters.\nSimilar traces may stand out faster next time.","文字の間隔を覚えました。\n似た痕跡には次から早く気づけそうです。","trait","trait","trait_observation","false","1","0","0","0","blackboard_name","0","0"
"188001","[30,40]","칠판의 이름","Name on the Board","黒板の名前","칠판 한가운데에 당신의 이름이 작게 적혀 있습니다.\n방금 쓴 것처럼 분필가루가 아직 떨어지고 있습니다.","Your name is written small at the center of the board.\nFresh chalk dust is still falling.","黒板の中央にあなたの名前が小さく書かれています。\n書かれたばかりのようにチョークの粉がまだ落ちています。","explore","35","8","18800101","18800102","3","젖은 손수건으로 입을 막는다","Cover your mouth with a wet handkerchief","濡れたハンカチで口を覆う","젖은 천이 분필가루를 조금 막아냈습니다.\n이름은 아직 남아 있지만 숨은 덜 막힙니다.","The wet cloth blocked some of the chalk dust.\nThe name remains, but breathing is easier.","濡れた布がチョーク粉を少し防ぎました。\n名前は残っていますが息は少し楽です。","item","item","301000141","false","1","0","201000015","1","","0","0"
"188001","[30,40]","칠판의 이름","Name on the Board","黒板の名前","칠판 한가운데에 당신의 이름이 작게 적혀 있습니다.\n방금 쓴 것처럼 분필가루가 아직 떨어지고 있습니다.","Your name is written small at the center of the board.\nFresh chalk dust is still falling.","黒板の中央にあなたの名前が小さく書かれています。\n書かれたばかりのようにチョークの粉がまだ落ちています。","explore","35","8","18800101","18800103","4","칠판을 닦는다","Erase the board","黒板を消す","칠판 위의 이름이 사라졌습니다.\n남은 가루는 조용히 모아 두었습니다.","The name vanished from the board.\nYou quietly kept the remaining dust.","黒板の名前は消えました。\n残った粉は静かに集めておきました。","item","item","401000008","false","0","0","201000015","1","blackboard_name","0","0"
"188002","[22,10]","읽으면 안 되는 쪽지","Note You Should Not Read","読んではいけないメモ","책장 사이에 접힌 쪽지가 떨어져 있습니다.\n겉면에는 읽지 말라는 문장이 반복해서 적혀 있습니다.","A folded note lies between the shelves.\nDo not read this is written again and again on the outside.","本棚の間に折られたメモが落ちています。\n表には「読んではいけない」という文が繰り返し書かれています。","explore","30","8","18800201","18800201","1","끝까지 읽는다","Read it to the end","最後まで読む","마지막 줄까지 읽어 버렸습니다.\n내용은 기억나지 않지만 빈 페이지 한 장이 손에 남았습니다.","You read it to the final line.\nYou cannot remember the contents, but a blank page remains in your hand.","最後の行まで読んでしまいました。\n内容は思い出せませんが、白紙のページが一枚手に残りました。","basic","none","","false","4","0","301000030","1","","0","0"
"188002","[22,10]","읽으면 안 되는 쪽지","Note You Should Not Read","読んではいけないメモ","책장 사이에 접힌 쪽지가 떨어져 있습니다.\n겉면에는 읽지 말라는 문장이 반복해서 적혀 있습니다.","A folded note lies between the shelves.\nDo not read this is written again and again on the outside.","本棚の間に折られたメモが落ちています。\n表には「読んではいけない」という文が繰り返し書かれています。","explore","30","8","18800201","18800204","2","끝까지 읽고도 눈을 돌리지 않는다","Read it through without looking away","最後まで読んでも目をそらさない","문장이 시야를 밀고 들어왔지만 당신은 버텼습니다.\n두려움은 남았지만 흔적도 남겼습니다.","The sentence pushed into your sight, but you held your ground.\nFear remained, and so did a trace.","文が視界に押し込んできましたが、あなたは耐えました。\n恐怖は残りましたが、痕跡も残りました。","trait","trait","trait_courage","false","1","0","0","0","forbidden_note","0","0"
"188002","[22,10]","읽으면 안 되는 쪽지","Note You Should Not Read","読んではいけないメモ","책장 사이에 접힌 쪽지가 떨어져 있습니다.\n겉면에는 읽지 말라는 문장이 반복해서 적혀 있습니다.","A folded note lies between the shelves.\nDo not read this is written again and again on the outside.","本棚の間に折られたメモが落ちています。\n表には「読んではいけない」という文が繰り返し書かれています。","explore","30","8","18800201","18800202","3","문장 구조만 옮겨 적는다","Copy only the sentence structure","文の構造だけを書き写す","내용을 읽지 않고 형태만 옮겼습니다.\n이상한 문장은 기록 안에서 조금 얌전해졌습니다.","You copied only the shape without reading the contents.\nInside your notes, the strange sentence became a little quieter.","内容を読まずに形だけを書き写しました。\n記録の中で奇妙な文は少し大人しくなりました。","item","item","301000131","false","1","0","301000030","1","","0","0"
"188002","[22,10]","읽으면 안 되는 쪽지","Note You Should Not Read","読んではいけないメモ","책장 사이에 접힌 쪽지가 떨어져 있습니다.\n겉면에는 읽지 말라는 문장이 반복해서 적혀 있습니다.","A folded note lies between the shelves.\nDo not read this is written again and again on the outside.","本棚の間に折られたメモが落ちています。\n表には「読んではいけない」という文が繰り返し書かれています。","explore","30","8","18800201","18800203","4","수첩에 정리한다","Organize it in the notebook","手帳に整理する","수첩 안에서 문장이 순서대로 눌렸습니다.\n무엇을 보았는지 나중에 다시 확인할 수 있습니다.","The sentence settled into order inside the notebook.\nYou can check what you saw later.","手帳の中で文が順番に収まりました。\n見たものを後で確認できます。","item","item","401000007","false","0","0","301000030","1","forbidden_note","0","0"
"188003","[42,41]","이상한 안내방송","Strange Announcement","奇妙な校内放送","방송이 끝났는데도 스피커에서 잡음이 흘러나옵니다.\n잡음 사이에 참기 어려운 기이한 소리가 섞여 있습니다.","The broadcast has ended, but static still leaks from the speaker.\nA strange unbearable sound is mixed into it.","放送は終わったのに、スピーカーから雑音が流れ続けています。\n耐えがたい奇妙な音が混じっています。","explore","30","8","18800301","18800301","1","그대로 듣는다","Listen as it is","そのまま聞く","소리가 머릿속 깊은 곳까지 밀고 들어왔습니다.\n한동안 자신의 생각과 방송을 구분하기 어렵습니다.","The sound pushed deep into your head.\nFor a while, it is hard to tell your thoughts from the broadcast.","音が頭の奥まで押し込んできました。\nしばらく自分の考えと放送の区別がつきません。","basic","none","","false","8","0","0","0","","0","0"
"188003","[42,41]","이상한 안내방송","Strange Announcement","奇妙な校内放送","방송이 끝났는데도 스피커에서 잡음이 흘러나옵니다.\n잡음 사이에 참기 어려운 기이한 소리가 섞여 있습니다.","The broadcast has ended, but static still leaks from the speaker.\nA strange unbearable sound is mixed into it.","放送は終わったのに、スピーカーから雑音が流れ続けています。\n耐えがたい奇妙な音が混じっています。","explore","30","8","18800301","18800305","2","호흡을 세며 버틴다","Count your breath and endure","呼吸を数えて耐える","당신은 숨을 세며 소리가 지나가기를 기다렸습니다.\n완전히 막지는 못했지만 무너지지는 않았습니다.","You counted your breath and waited for the sound to pass.\nYou could not block it completely, but you did not collapse.","あなたは息を数えながら音が過ぎるのを待ちました。\n完全には防げませんでしたが、崩れませんでした。","trait","trait","trait_calm","false","3","0","0","0","","0","0"
