id,type,text_kr,text_en,text_jp
1,1,벽에 손톱 자국을 내라,Claw the wall,壁に爪痕を残せ
2,1,그것이 보고 있다,It is watching,それが見ている
3,1,돌아보지 마라,Don't look back,振り返るな
4,1,문을 열지 마라,Don't open the door,扉を開けるな
5,1,그림자가 움직인다,The shadows move,影が動く
6,1,너는 이미 죽었다,You are already dead,お前はもう死んでいる
7,1,도망칠 수 없다,There is no escape,逃げられない
8,1,뒤에 있다,It is behind you,後ろにいる
9,1,눈을 감아라,Close your eyes,目を閉じろ
10,1,숨을 멈춰라,Hold your breath,息を止めろ
11,1,그들이 온다,They are coming,奴らが来る
12,1,나를 따라와,Follow me,ついてこい
13,1,여기서 나가,Get out of here,ここから出ろ
14,1,모두 거짓말이다,It is all a lie,全部嘘だ
15,1,너를 지켜보고 있다,You are being watched,お前を見張っている
16,1,혼자가 아니다,You are not alone,一人ではない
17,1,문이 닫힌다,The door is closing,扉が閉まる
18,1,?,?,?
19,1,이미 늦었다,It is too late,もう遅い
20,1,영원히 여기 있어,Stay here forever,ここに永遠にいろ
21,1,░▒▓█▓▒░,░▒▓█▓▒░,░▒▓█▓▒░
22,1,▓░▒█▒░▓,▓░▒█▒░▓,▓░▒█▒░▓
23,1,█▓▒░▒▓█,█▓▒░▒▓█,█▓▒░▒▓█
24,1,▒░▓█▓░▒,▒░▓█▓░▒,▒░▓█▓░▒
25,1,░█▓▒▓█░,░█▓▒▓█░,░█▓▒▓█░
26,1,잠들지 마,Don't fall asleep,眠るな
27,1,소리를 들어,Listen to the sound,音を聞け
28,1,거울을 봐,Look in the mirror,鏡を見ろ
29,1,벽 뒤에 있다,It is behind the wall,壁の後ろにいる
30,1,손을 내밀어,Reach out your hand,手を差し出せ
31,1,기억하지 마,Do not remember,思い出すな
32,1,천장을 두드린다,Knocks on the ceiling,天井を叩く
33,1,모든 불을 끈다,Turns off every light,全ての明かりを消す
34,1,그림자가 늘어난다,The shadows multiply,影が増えていく
35,1,시간이 멈췄다,Time has stopped,時間が止まった
36,1,피를 낸다,Bleeds,血を流す
37,1,목소리를 듣는다,Hears voices,声が聞こえる
38,1,여기 누가 있어,Someone is here,ここに誰かいる
39,1,창문을 봐,Look at the window,窓を見ろ
40,1,천장에서 본다,Watches from the ceiling,天井から見ている
41,1,숨어도 소용없다,Hiding is useless,隠れても無駄だ
