rule_key,value,comment_kr
round_action_seconds,180,라운드 행동 시간
round_settlement_seconds,45,정산/전환 시간
general_job_score_min,0.2,일반 잡일 최소 점수
general_job_score_max,0.3,일반 잡일 최대 점수
general_job_round_score_cap,1.5,일반 잡일 라운드 총점 상한
general_job_scoring_limit_count,5,점수를 지급하는 일반 잡일 최대 개수
general_job_after_limit_score,0,6번째 이후 일반 잡일 점수
general_job_require_item_default,true,일반 잡일은 기본적으로 RequireItem을 가진다
general_job_missing_item_policy,cannot_complete_can_skip_once,요구 아이템이 없으면 완료 불가. 라운드당 1회 잡일 교체 가능
general_job_skip_stamina_cost,5,잡일 교체 비용
general_job_required_item_consume_default,false,도구형 아이템은 기본 비소모
manitto_role_score_min,2.0,마니또 역할 최소 점수
manitto_role_score_max,3.0,마니또 역할 최대 점수
manitto_role_round_limit_min,1,라운드당 마니또 역할 최소 배정 수
manitto_role_round_limit_max,2,라운드당 마니또 역할 최대 배정 수
tie_bonus_score,0.5,고발 적격자 1위 동점 다음 라운드 보너스
tie_bonus_duration_rounds,1,보너스 유지 라운드 수
tie_bonus_stackable,false,보너스 누적 여부
tie_bonus_consecutive_allowed,false,연속 획득 허용 여부
failed_accuse_corruption_temp_add,20,고발 실패 시 이번 라운드 정신오염도 임시 가산
failed_accuse_temp_add_duration,settlement_only,정산 1회 적용 후 소멸
chain_reconnect_on_elimination,false,탈락 후 체인 재연결 여부
reassign_target_on_elimination,false,탈락 후 새 타겟 배정 여부
