task_key,"panel_title_kr","panel_title_en","panel_title_jp","detail_kr","detail_en",detail_jp,"choice_1_kr","choice_1_en",choice_1_jp,"choice_2_kr","choice_2_en",choice_2_jp,"required_choice_kr","required_choice_en","required_choice_jp"
"JOB_CLASS_2_1_BLACKBOARD_CHALK",칠판,"Blackboard",,칠판 한쪽에 누군가의 이름이 적혀 있습니다. 필체가 이상하게 낯설지 않습니다.,"Someone wrote a name on one side of the blackboard.\nThe handwriting feels strangely familiar.",,손바닥으로 이름을 지운다.,"Wipe the name away.",,이름을 가만히 살펴본다.,"Study the name quietly.",,이름을 따라 써 본다.,"Trace the name.",
"JOB_CLASS_2_1_CLEANING_CABINET_BAG",청소 도구함,"Cleaning Cabinet",,청소 도구함 안쪽에 종이가 구겨져 있습니다. 누군가 급히 숨겨놓은 것처럼 보입니다.,"A crumpled paper is tucked inside the cabinet.\nIt looks like someone hid it in a hurry.",,구겨진 종이를 조심히 꺼낸다.,"Carefully pull out the paper.",,숨겨진 흔적을 살펴본다.,"Look for hidden traces.",,봉투에 따로 담는다.,"Seal it in a separate bag.",
"JOB_CLASS_2_1_ATTENDANCE_PENCIL",출석부,"Attendance Book",,출석부의 빈 칸 위에 흐린 선이 남아 있습니다. 그 뒤로 누군가의 이름이 보입니다.,"Faint lines remain over a blank attendance slot.\nA name seems to show through behind them.",,빈 칸을 손끝으로 짚는다.,"Touch the blank space.",,흐린 선을 살펴본다.,"Inspect the faded lines.",,지운 이름을 다시 적어 본다.,"Rewrite the erased name.",
"JOB_CLASS_2_1_POSTIT_SORT",포스트잇,"Sticky Notes",,책상 위 포스트잇이 일정한 간격으로 붙어 있습니다. 물건보다 사람의 동선을 표시한 것 같습니다.,"Sticky notes are placed at even intervals on the desk.\nThey seem to mark a person's route, not objects.",,흐트러진 포스트잇을 다시 붙인다.,"Reattach the scattered notes.",,표시된 순서를 눈으로 따라간다.,"Follow the marked order.",,빈 자리에 새 표시를 붙인다.,"Place a new mark in the blank spot.",
"JOB_CLASS_2_1_LOCKER_TOOLBOX",사물함,"Locker",,사물함 손잡이가 닳아 있습니다. 누군가가 여러 번 열어 본 것 같습니다.,"The locker handle is worn down.\nSomeone seems to have opened it again and again.",,손잡이의 흔적을 손끝으로 더듬는다.,"Trace the marks on the handle.",,문틈 안쪽을 조용히 살핀다.,"Quietly check inside the gap.",,공구함으로 틈을 확인한다.,Check the gap with the toolbox.,
"JOB_GYM_BALL_BASKET_ROPE",공 바구니,Ball Basket,,공 바구니 주변에 밧줄이 풀려 있습니다. 방금 누군가 다녀간 것처럼 보입니다.,"A rope lies loose near the ball basket.\nIt looks like someone passed by moments ago.",,흐트러진 공을 다시 모은다.,"Gather the scattered balls.",,풀린 밧줄의 방향을 살핀다.,"Check where the loose rope points.",,밧줄을 다시 묶는다.,"Tie the rope again.",
"JOB_GYM_STAGE_CONDUCT",무대,Stage,,무대 안내문의 한쪽이 들떠 있습니다. 서투른 손길입니다.,"One edge of the stage notice has lifted.\nThe touch that placed it there was clumsy.",,들뜬 안내문을 손으로 누른다.,"Press the lifted notice down.",,안내문 뒤쪽을 살펴본다.,"Check behind the notice.",,행동 수칙 쪽지를 덧붙인다.,"Add the rule note.",
"JOB_GYM_SPEAKER_BATTERY",스피커,"Speaker",,스피커 표시등이 희미하게 깜빡입니다. 장비는 아직 꺼지지 않은 상태입니다.,"The speaker light flickers faintly.\nThe equipment has not fully powered down yet.",,전원 표시등을 확인한다.,"Check the power light.",,스피커 뒤쪽을 살펴본다.,"Look behind the speaker.",,건전지를 갈아 끼운다.,"Replace the battery.",
JOB_GYM_BASKET_BAG,공 바구니,School Task,,공 바구니 아래에 검정색 봉투가 접혀 있습니다.,"A black plastic bag is folded under the ball basket.",,공 바구니 아래를 확인한다.,"Check under the ball basket.",,접힌 봉투의 안쪽을 살핀다.,"Look inside the folded bag.",,봉투에 주변 물건을 담는다.,"Put nearby items in the bag.",
"JOB_LIBRARY_CART_LEGALPAD",카트,"Cart",,반납 카트 위 목록이 비어 있습니다. 책들은 누가 먼저인지 모르게 섞여 있습니다.,"The return cart list is blank.\nThe books are mixed so badly that no order remains.",,카트 위 책을 순서대로 맞춘다.,"Sort the books on the cart.",,빈 목록을 가만히 살펴본다.,"Study the blank list.",,리갈 패드에 순서를 적는다.,"Write the order on the legal pad.",
"JOB_LIBRARY_TRASH_WHITEBAG",휴지통,"Trash Can",,휴지통 안에 구겨진 종이들이 뒤섞여 있습니다.,"Crumpled papers are mixed together inside the trash can.",,구겨진 종이를 한데 모은다.,"Gather the crumpled papers.",,종이에 남은 글자를 살펴본다.,"Check the letters left on the paper.",,봉투에 따로 담는다.,"Seal it in a separate bag.",
"JOB_LIBRARY_NOTEBOOK_SORT",기록,"Record",,도서 대출 기록의 몇 줄이 비어 있습니다.,"Several lines are missing from the library loan record.",,비어 있는 줄을 확인한다.,"Check the blank lines.",,앞뒤 기록을 대조한다.,"Compare the surrounding records.",,리갈 패드에 빠진 줄을 적는다.,"Write the missing lines on the legal pad.",
"JOB_LIBRARY_CART_ROPE",카트,"Cart",,카트 바퀴가 한쪽으로 틀어져 있습니다. 바퀴가 밀린 자국이 바닥에 남아 있습니다.,"One wheel of the cart is twisted sideways.\nDragged wheel marks remain on the floor.",,틀어진 바퀴를 확인한다.,"Check the crooked wheel.",,바닥의 밀린 자국을 따라간다.,"Follow the dragged mark on the floor.",,밧줄로 카트를 고정한다.,"Secure the cart with rope.",
"JOB_ADMIN_COPIER_PAPER",복합기,"Copier",,복합기 출력함의 용지가 비뚤게 쌓여 있습니다. 마지막 장에 온기가 남아 있습니다.,"The paper in the copier tray is stacked crookedly.\nThe last sheet is still warm.",,비뚤어진 용지를 가지런히 둔다.,"Straighten the crooked paper.",,마지막 장의 온기를 확인한다.,"Check the warmth of the last sheet.",,리갈 패드에 출력 순서를 적는다.,"Write the print order on the legal pad.",
"JOB_ADMIN_WINDOW_ERASER",창가,"Window",,창가에 눌린 자국이 희미하게 남아 있습니다. 누군가가 오래 있었던 것 같습니다.,"A pressed mark remains faintly by the window.\nSomeone seems to have stayed here for a while.",,눌린 자국을 손끝으로 따라간다.,"Trace the pressed mark.",,창밖을 조용히 살펴본다.,Quietly look outside.,,지우개로 자국을 문지른다.,"Rub the mark with the eraser.",
"JOB_ADMIN_KEY_SAMPLE_TOOLBOX",자물쇠,Lock,,자물쇠의 번호가 조금씩 어긋나 있습니다.,"The numbers on the lock are slightly misaligned.",,어긋난 번호를 확인한다.,"Check the shifted numbers.",,자물쇠 주변 흠집을 살핀다.,"Inspect the scratches around the lock.",,공구함으로 고정 상태를 본다.,"Check the fixed parts with the toolbox.",
"JOB_ADMIN_ENVELOPE_LABEL",봉투,"Envelope",,압수품 봉투의 라벨이 비어 있습니다. 이름을 적다가 멈춘 것처럼 보입니다.,"The confiscated envelope label is blank.\nIt looks as if someone stopped while writing a name.",,빈 라벨을 확인한다.,"Check the blank label.",,봉투 안쪽 그림자를 살핀다.,"Look at the shadow inside the envelope.",,포스트잇으로 새 라벨을 붙인다.,"Attach a new sticky-note label.",
"JOB_STAFF_MINUTES_PENCIL",회의록,"Meeting Notes",,회의록 빈 칸에 펜으로 눌린 자국이 남아 있습니다. 낯선 필체입니다.,"A pressed pen mark remains in a blank spot of the minutes.\nThe handwriting is unfamiliar.",,빈 칸의 눌린 자국을 확인한다.,"Check the pressed mark in the blank spot.",,낯선 필체를 가만히 본다.,"Study the unfamiliar handwriting.",,샤프로 눌린 글자를 되짚는다.,"Trace the pressed letters with a pencil.",
"JOB_STAFF_CABINET_KEYMOLD",보관함,"Cabinet",,보관함 안쪽 라벨이 뜯겨져 있습니다.,"The label inside the cabinet has been torn away.",,뜯긴 라벨 자리를 확인한다.,"Check where the torn label was.",,안쪽 칸의 배열을 맞춰 본다.,"Line up the inner compartments.",,마스터 키 본으로 잠금 흔적을 본다.,"Check the lock marks with the master key mold.",
"JOB_STAFF_BLACKBOARD_CHALK",칠판,"Blackboard",,교무실 칠판 구석에 짧은 문구가 남아 있습니다.,"A short phrase remains in the corner of the faculty-room blackboard.",,짧은 문구를 손으로 지운다.,"Erase the short phrase by hand.",,문구의 마지막 획을 살펴본다.,"Inspect the final stroke.",,분필로 문구를 다시 적어 본다.,"Rewrite the phrase with chalk.",
"JOB_STAFF_TEA_DELIVERY",컵,Cup,,컵 안에 아직 온기가 남아 있습니다. 방금 전까지 누군가 있었던 것 같습니다.,"Warmth still remains inside the cup.\nSomeone seems to have been here moments ago.",,컵을 제자리로 밀어 둔다.,"Slide the cup back into place.",,남은 온기를 확인한다.,"Check the warmth left behind.",,따뜻한 차를 곁에 놓는다.,"Set warm tea beside it.",
"JOB_STORAGE_CABINET_TOOLBOX",캐비넷,"Cabinet",,창고 캐비넷 손잡이에 흠집이 나 있습니다.,"There are scratches on the storage cabinet handle.",,손잡이의 흠집을 살펴본다.,"Inspect the scratches on the handle.",,문틈 안쪽을 조용히 확인한다.,"Quietly check inside the gap.",,공구함으로 흔들림을 잡는다.,Use the toolbox to steady it.,
"JOB_STORAGE_BALL_BAG",공 바구니,Ball Basket,,공 바구니 주변 물건들이 한쪽으로 몰려 있습니다. 누군가 급히 지나간 것 같습니다.,"Items near the ball basket are pushed to one side.\nSomeone seems to have rushed past.",,몰린 물건을 가지런히 둔다.,"Straighten the piled items.",,급히 지나간 방향을 살핀다.,"Check which way someone hurried.",,봉투에 흩어진 물건을 담는다.,"Put the scattered items in the bag.",
"JOB_STORAGE_ROPE_BUNDLE",밧줄,"Rope",,흩어진 포대 자루 사이로 밧줄이 보입니다. 밧줄은 일정한 간격으로 매듭져 있습니다.,"A rope is visible between scattered sacks.\nIts knots are tied at regular intervals.",,포대 자루를 한쪽으로 치운다.,Move the sacks aside.,,매듭 간격을 확인한다.,"Check the knot spacing.",,밧줄을 다시 묶는다.,"Tie the rope again.",
"JOB_STORAGE_CAMP_MANUAL",야영 장비,"Camp Gear",,야영 장비 목록의 체크 표식이 각자 다릅니다.,"The check marks on the camp gear list are all different.",,체크 표식의 차이를 살핀다.,"Compare the check marks.",,장비 목록을 순서대로 맞춘다.,"Put the gear list in order.",,야영 교본과 목록을 대조한다.,"Compare the list with the camp manual.",
"JOB_EXAM_WINDOW_ERASER",창틀,"Window",,고사실 창틀에 손자국이 길게 남아 있습니다.,"A long handprint remains on the exam-room window frame.",,긴 손자국을 따라 살핀다.,"Follow the long handprint.",,창틀 아래 먼지를 확인한다.,"Check the dust below the frame.",,지우개로 손자국을 문지른다.,"Rub the handprint with the eraser.",
"JOB_EXAM_DESK_PENCIL",책상,Desk,,책상 번호표가 훼손되어 있습니다.,"The desk number plate has been damaged.",,훼손된 번호표를 확인한다.,"Check the damaged number plate.",,책상 위 흔적을 가만히 살핀다.,"Quietly inspect the desk marks.",,샤프로 번호를 다시 적는다.,"Rewrite the number with a pencil.",
"JOB_EXAM_BATTERY_CLOCK",시계,Clock,,고사실 시계가 멈춘 채 같은 초를 가리킵니다.,"The exam-room clock is stopped on the same second.",,멈춘 초침을 확인한다.,"Check the stopped second hand.",,시계 뒤쪽을 살펴본다.,"Look behind the clock.",,건전지를 갈아 끼운다.,"Replace the battery.",
"JOB_BROADCAST_RECORDER_BATTERY",기록 장치,"Recorder",,전원이 희미하게 깜빡입니다. 마이크에 온기가 남아 있습니다.,"The power light flickers faintly.\nThe microphone is still warm.",,깜빡이는 전원을 확인한다.,"Check the flickering power light.",,마이크의 온기를 살핀다.,"Check the microphone warmth.",,건전지를 갈아 끼운다.,"Replace the battery.",
"JOB_BROADCAST_CABLE_ROPE",케이블,"Rope",,케이블 선이 의자 다리 밑으로 엉켜 있습니다.,"Cables are tangled under the chair legs.",,엉킨 케이블을 풀어 본다.,"Untangle the cables.",,케이블이 향한 쪽을 확인한다.,"Check where the cables lead.",,밧줄로 선을 묶어 둔다.,"Tie the wires with rope.",
"JOB_BROADCAST_POSTIT_LABEL",장비,"Sticky Notes",,방송 장비 라벨이 서로 다른 방향으로 붙어 있습니다. 이름 대신 순서를 감추려는 것 같습니다.,"Broadcast equipment labels point in different directions.\nThey seem to hide an order instead of a name.",,엇갈린 라벨을 확인한다.,"Check the crossed labels.",,라벨의 순서를 눈으로 따라간다.,"Follow the label order.",,포스트잇으로 새 순서를 붙인다.,"Attach a new order with sticky notes.",
"JOB_CLASS_3_1_BLACKBOARD_CHALK",칠판,"Blackboard",,구석에 지워지다 만 문구가 남아 있습니다. 마지막 획만 이상하게 선명합니다.,"A half-erased phrase remains in the corner.\nOnly the final stroke is strangely clear.",,지워진 문구를 손으로 문지른다.,"Rub the erased phrase by hand.",,선명한 마지막 획을 살핀다.,"Inspect the clear final stroke.",,분필로 문구를 다시 적어 본다.,"Rewrite the phrase with chalk.",
"JOB_CLASS_3_1_TRASH_BAG",휴지통,"Trash Can",,안쪽에 접힌 종이가 끼어 있습니다. 버린 뒤 다시 꺼내려고 한 것 같습니다.,"A folded paper is caught inside.\nIt looks like someone tried to retrieve it after throwing it away.",,접힌 종이를 꺼낸다.,"Take out the folded paper.",,종이에 남은 자국을 살핀다.,"Check the mark left on the paper.",,봉투에 따로 담는다.,"Seal it in a separate bag.",
JOB_CLASS_3_1_BACKPACK_POSTIT,배낭,"Sticky Notes",,배낭 위에 작은 얼룩이 남아 있습니다.,"A small stain remains on the backpack.",,작은 얼룩을 확인한다.,"Check the small stain.",,배낭 주변 물건을 살핀다.,"Inspect the items near the backpack.",,포스트잇으로 표시를 남긴다.,"Leave a mark with a sticky note.",
"JOB_CLASS_1_1_DESK_ERASER",책상,Desk,,먼지 자국이 뿌옇게 남아 있습니다.,"A cloudy dust mark remains on the desk.",,먼지 자국을 손으로 훑는다.,"Brush the dust mark by hand.",,책상 위를 가만히 살펴본다.,"Quietly inspect the desk.",,지우개로 자국을 문지른다.,"Rub the mark with the eraser.",
"JOB_CLASS_1_1_BAG_ORGANIZE",배낭,Backpack,,주변에 작은 물건들이 흩어져 있습니다.,"Small items are scattered around the backpack.",,흩어진 물건을 모은다.,"Gather the scattered items.",,배낭 주변을 조용히 살핀다.,"Quietly inspect around the backpack.",,봉투에 작은 물건을 담는다.,"Put the small items in the bag.",
