door_id,required_item_id,position_x,position_y,fallback_cell_x,fallback_cell_y,interact_distance,area_type,is_initially_open,area_type_b,gauge_seconds
201,0,113,78,115,78,2,50,0,64,0
202,0,164,80,162,80,2,51,0,65,0
203,0,83,47,83,45,2,52,0,66,0
204,0,83,-1,83,1,2,53,0,67,0
205,0,113,-32,115,-32,2,54,0,68,0
206,0,195,-1,195,1,2,55,0,71,0
207,0,194,47,194,45,2,56,0,70,0
208,0,164,-33,162,-33,2,57,0,69,0
211,0,126,78,124,78,2,60,0,64,0
212,0,149,78,151,78,2,60,0,65,0
213,0,141,67,141,65,2,60,0,72,0
214,0,128,-34,126,-34,2,61,0,68,0
215,0,151,-34,153,-34,2,61,0,69,0
216,0,135,-21,135,-19,2,61,0,72,0
217,0,83,34,83,36,2,62,0,66,0
218,0,83,12,83,10,2,62,0,67,0
219,0,94,14,96,14,2,62,0,72,0
220,0,194,34,194,36,2,63,0,70,0
221,0,196,12,196,10,2,63,0,71,0
222,0,183,22,181,22,2,63,0,72,0
