"event_id","choice_id","sort_order","choice_text_kr","choice_text_en","choice_text_jp","result_text_kr","result_text_en","result_text_jp","choice_type","requirement_type","requirement_value","consume_item","mental_delta","stamina_delta","reward_item_id","reward_item_count","clue_reward_id","luck_success_rate","luck_failure_choice_id","world_effect_id","consume_item_count","state_precondition"
"188001","18800101","1","분필가루를 조심히 모은다","Gather the chalk dust carefully","チョーク粉を慎重に集める","가루가 손끝에 묻었습니다.\n찝찝하지만 쓸 수 있을 만큼은 모았습니다.","The dust clung to your fingertips.\nUnpleasant, but enough to use.","粉が指先につきました。\n気味は悪いですが使える分は集まりました。","basic","none","","false","2","0","201000015","1","","0","0","","0",""
"188001","18800105","2","글씨의 간격을 눈으로 잰다","Measure the letter spacing","文字の間隔を見る","글씨의 간격을 기억했습니다.\n비슷한 흔적은 다음부터 더 빨리 보일 것 같습니다.","You remembered the spacing of the letters.\nSimilar traces may stand out faster next time.","文字の間隔を覚えました。\n似た痕跡には次から早く気づけそうです。","trait","trait","trait_observation","false","1","0","0","0","blackboard_name","0","0","","0",""
"188001","18800102","3","젖은 손수건으로 입을 막는다","Cover your mouth with a wet handkerchief","濡れたハンカチで口を覆う","젖은 천이 분필가루를 조금 막아냈습니다.\n이름은 아직 남아 있지만 숨은 덜 막힙니다.","The wet cloth blocked some of the chalk dust.\nThe name remains, but breathing is easier.","濡れた布がチョーク粉を少し防ぎました。\n名前は残っていますが息は少し楽です。","item","item","301000141","true","1","0","201000015","1","","0","0","","1",""
"188001","18800103","4","칠판을 닦는다","Erase the board","黒板を消す","칠판 위의 이름이 사라졌습니다.\n남은 가루는 조용히 모아 두었습니다.","The name vanished from the board.\nYou quietly kept the remaining dust.","黒板の名前は消えました。\n残った粉は静かに集めておきました。","item","item","401000008","true","0","0","201000015","1","blackboard_name","0","0","","1",""
"188002","18800201","1","끝까지 읽는다","Read it to the end","最後まで読む","마지막 줄까지 읽어 버렸습니다.\n내용은 기억나지 않지만 빈 페이지 한 장이 손에 남았습니다.","You read it to the final line.\nYou cannot remember the contents, but a blank page remains in your hand.","最後の行まで読んでしまいました。\n内容は思い出せませんが、白紙のページが一枚手に残りました。","basic","none","","false","4","0","301000030","1","","0","0","","0",""
"188002","18800204","2","끝까지 읽고도 눈을 돌리지 않는다","Read it through without looking away","最後まで読んでも目をそらさない","문장이 시야를 밀고 들어왔지만 당신은 버텼습니다.\n두려움은 남았지만 흔적도 남겼습니다.","The sentence pushed into your sight, but you held your ground.\nFear remained, and so did a trace.","文が視界に押し込んできましたが、あなたは耐えました。\n恐怖は残りましたが、痕跡も残りました。","trait","trait","trait_courage","false","1","0","0","0","forbidden_note","0","0","","0",""
"188002","18800202","3","문장 구조만 옮겨 적는다","Copy only the sentence structure","文の構造だけを書き写す","내용을 읽지 않고 형태만 옮겼습니다.\n이상한 문장은 기록 안에서 조금 얌전해졌습니다.","You copied only the shape without reading the contents.\nInside your notes, the strange sentence became a little quieter.","内容を読まずに形だけを書き写しました。\n記録の中で奇妙な文は少し大人しくなりました。","item","item","301000131","true","1","0","301000030","1","","0","0","","1",""
"188002","18800203","4","수첩에 정리한다","Organize it in the notebook","手帳に整理する","수첩 안에서 문장이 순서대로 눌렸습니다.\n무엇을 보았는지 나중에 다시 확인할 수 있습니다.","The sentence settled into order inside the notebook.\nYou can check what you saw later.","手帳の中で文が順番に収まりました。\n見たものを後で確認できます。","item","item","401000007","true","0","0","301000030","1","forbidden_note","0","0","","1",""
"188003","18800301","1","재료를 대응에 투입한다","Contribute a material","素材を対応に投入する","선택한 재료를 투입해 공동 대응도를 높였습니다.","You contributed the selected material to the shared response.","選んだ素材を投入して共同対応度を上げました。","material_contribution","response_material","","true","0","0","0","0","","0","0","contribute_material","1","active_player_cap_available"
"188003","18800305","2","조합품을 대응에 투입한다","Contribute a crafted item","組み合わせ品を対応に投入する","선택한 조합품의 단계만큼 공동 대응도가 올랐습니다.","The shared response increased by the selected item tier.","選んだ組み合わせ品の段階に応じて共同対応度が上がりました。","crafted_contribution","response_crafted","","true","0","0","0","0","","0","0","contribute_crafted_item","1","active_player_cap_available"
"188003","18800302","3","전원 손잡이를 붙잡고 시간을 번다","Hold the power handle to buy time","電源ハンドルを押さえて時間を稼ぐ","스태미나를 써서 사건 제한시간을 15초 늘렸습니다.","You spent stamina to extend the event by 15 seconds.","スタミナを使って事件の制限時間を15秒延ばしました。","time_extension","stamina","15","false","0","-15","0","0","","0","0","extend_time","0","active_extension_available"
"188003","18800303","4","맨손으로 비상 배선을 정리한다","Sort the emergency wiring by hand","素手で非常配線を整理する","정신오염을 감수하고 비상 대응도 1을 더했습니다.","You accepted mental corruption and added one emergency response point.","精神汚染を受け入れ、緊急対応度を1追加しました。","manual_response","none","","false","10","0","0","0","","0","0","manual_response","0","active_manual_available"
"188004","18800401","1","억지로 연다","Force it open","無理やり開ける","문은 조금 열렸지만 안쪽의 금속음이 손목을 울렸습니다.\n틈에서 운동화 끈 하나를 건졌습니다.","The door opened a little, but a metallic sound shook your wrist.\nYou pulled a shoelace from the gap.","扉は少し開きましたが、内側の金属音が手首に響きました。\n隙間から靴ひもを一本拾いました。","basic","none","","false","4","0","301000035","1","","0","0","","0",""
"188004","18800404","2","망설임 없이 정확한 지점을 연다","Open the exact point without hesitation","迷わず正確な場所を開ける","당신은 손이 먼저 움직이는 지점을 믿었습니다.\n문틈에서 종이테이프를 빼냈습니다.","You trusted the point your hand moved to first.\nYou pulled paper tape from the gap.","あなたは手が先に動いた場所を信じました。\n隙間から紙テープを抜き取りました。","trait","trait","trait_execution","false","1","0","301000026","1","","0","0","","0",""
"188004","18800402","3","임시 손잡이를 건다","Attach the temporary handle","仮の取っ手を掛ける","임시 손잡이가 문틈을 붙잡았습니다.\n문은 거칠게 열렸지만 손은 다치지 않았습니다.","The temporary handle caught the gap.\nThe door opened roughly, but your hand was not hurt.","仮の取っ手が扉の隙間をつかみました。\n扉は荒く開きましたが、手は傷つきませんでした。","item","item","301000121","true","1","0","301000025","1","","0","0","","1",""
"188004","18800403","4","캐비넷 해제 도구를 쓴다","Use the cabinet release tool","キャビネット解除道具を使う","걸쇠가 조용히 풀렸습니다.\n안쪽에는 누군가 서둘러 숨긴 흔적이 남아 있습니다.","The latch came loose quietly.\nInside, traces of something hidden in a hurry remain.","留め金が静かに外れました。\n内側には誰かが急いで隠した痕跡が残っています。","item","item","401000006","true","0","0","0","0","cabinet_lock","0","0","","1",""
"188005","18800501","1","처방전을 챙긴다","Take the prescription","処方箋を持っていく","처방전을 접어 넣자 손끝이 조금 저렸습니다.\n약장 안쪽에서 안정제 하나가 굴러 나왔습니다.","When you folded the prescription away, your fingertips tingled.\nA calming tablet rolled out from inside the cabinet.","処方箋を折りたたむと指先が少ししびれました。\n薬棚の奥から安定剤が一つ転がり出ました。","basic","none","","false","2","0","201000007","1","","0","0","","0",""
"188005","18800505","2","약장 뒤 비상구 동선부터 확인한다","Check the emergency route behind the cabinet first","薬棚の奥の非常経路を先に確認する","당신은 처방전보다 나갈 길을 먼저 보았습니다.\n필요하면 스태미나를 쓰지 않고 물러날 수 있습니다.","You looked for the way out before the prescription.\nIf needed, you can withdraw without spending stamina.","あなたは処方箋より先に出口を見ました。\n必要ならスタミナを使わずに下がれます。","trait","trait","trait_survival","false","0","0","0","0","infirmary_route","0","0","","0",""
"188005","18800502","3","진정 세트로 버틴다","Hold steady with the calming set","鎮静セットで耐える","진정 세트를 꺼내자 처방전의 글씨가 조금 흐려졌습니다.\n약장에는 아직 따뜻한 차가 남아 있습니다.","When you took out the calming set, the writing on the prescription blurred a little.\nWarm tea remains in the cabinet.","鎮静セットを取り出すと、処方箋の文字が少しぼやけました。\n薬棚にはまだ温かいお茶が残っています。","item","item","301000101","true","0","0","201000009","1","","0","0","","1",""
"188005","18800503","4","진정 파우치로 처치한다","Treat yourself with the calming pouch","鎮静ポーチで処置する","따뜻한 기운이 손끝에서 천천히 퍼졌습니다.\n처방전은 더 이상 당신을 부르지 않습니다.","Warmth slowly spread from your fingertips.\nThe prescription no longer calls to you.","温かさが指先からゆっくり広がりました。\n処方箋はもうあなたを呼びません。","item","item","401000004","true","-15","0","0","0","","0","0","","1",""
