id,name_kr,name_en,name_jp,requirements,comment_kr,reusable
101000001,고영희 단발,Goyounghee Bob,コ・ヨンヒ ボブ,[],인기스타 고영희를 닮은 단발,1
101000002,사자 머리,Lion's Mane,ライオンヘア,[],자유롭고 활기찬 영혼의 표현,1
101000003,단정한 머리,Neat Tied Hair,清楚なまとめ髪,[],한 방향으로 단정하게 묶은 머리,1
101000004,모범생 머리,Honor Student Cut,優等生ヘア,[],반듯하고 부드러운 짧은 머리,1
101000005,하늘 바람머리,Skyward Breeze,スカイブリーズ,[],경쾌한 인상의 숏컷,1
101000006,여름 밤 단발,Summer Night Bob,夏の夜のボブ,[],달빛 아래 머물던 추억,1
101000007,겨울 아침 웨이브,Winter Morning Waves,冬の朝のウェーブ,[],함박 눈 내리던 등교길,1
101000008,벚꽃 만두머리,Cherry Blossom Buns,桜のお団子ヘア,[],봄 바람 살랑이던 하교길,1
101000009,잿빛 땋은머리,Ash Braids,アッシュの三つ編み,[],섬세한 인상의 양갈래 머리,1
101000010,체리 포니테일,Cherry Ponytail,チェリーポニーテール,[],통통 튀는 상큼한 머릿결,1
101000011,솜사탕 구름,Cotton Candy Cloud,綿あめクラウド,[],가볍고 포근한 스타일의 단발,1
101000012,카라멜 허쉬컷,Caramel Hush Cut,キャラメルハーシーカット,[],햇살 아래 녹아드는 따뜻함,1
102000001,섬세한 친구 얼굴,Delicate Friend's Face,繊細な友達の顔,[],여리고 다정했던 내 친구,1
102000002,활기찬 친구 얼굴,Lively Friend's Face,活発な友達の顔,[],매 순간 반짝이던 너의 두 눈,1
102000003,그리운 친구 얼굴,Wistful Friend's Face,懐かしい友達の顔,[],잘 지내고 있는지 궁금해요,1
102000004,반듯한 친구 얼굴,Upright Friend's Face,真面目な友達の顔,[],남 모르게 부러워했어요,1
102000005,조용한 친구 얼굴,Quiet Friend's Face,静かな友達の顔,[],어떤 생각에 잠겨있는지 궁금해요,1
102000006,영롱한 친구 얼굴,Radiant Friend's Face,煌めく友達の顔,[],무슨 말을 해도 재밌게 들어줬어요,1
102000007,겁쟁이 친구 얼굴,Timid Friend's Face,臆病な友達の顔,[],이제는 괜찮아졌으면 해요,1
102000008,명랑한 친구 얼굴,Cheerful Friend's Face,陽気な友達の顔,[],항상 밝게 웃어줬어요,1
102000009,설레는 친구 얼굴,Excited Friend's Face,ときめく友達の顔,[],어떤 걸 기다리고 있었을까요?,1
102000010,차분한 친구 얼굴,Composed Friend's Face,落ち着いた友達の顔,[],당황하는 기색이 없어요,1
102000011,귀여운 친구 얼굴,Cute Friend's Face,可愛い友達の顔,[],동생처럼 놀리고 싶어져요,1
102000012,성숙한 친구 얼굴,Mature Friend's Face,大人びた友達の顔,[],고민을 잘 들어줬어요,1
103000001,리본 헤어밴드,Ribbon Headband,リボンヘアバンド,[],어디에도 잘 어울리는 귀여운 포인트,1
103000002,새싹 헤어밴드,Sprout Headband,若葉のヘアバンド,[],놀이공원에서의 즐거운 추억,1
103000003,동그란 뿔테 안경,Round Frame Glasses,丸い黒縁メガネ,[],귀엽고 지적인 인상을 줘요,1
103000004,프리뮬라,Primula,プリムラ,[],가장 먼저 피어나는 꽃,1
103000005,뽀송 귀마개,Fluffy Earmuffs,ふんわりイヤーマフ,[],찬 바람에도 끄덕없어요,1
103000006,베레모,Beret,ベレー帽,[],보헤미안 감성의 패션 아이템,1
104000001,리본 동복 상의,Ribbon Winter Top,リボン冬服トップス,[],리본으로 포인트를 준 동복,1
104000002,노랑 트레이닝 상의,Yellow Track Top,黄色のジャージトップス,[],무엇이든 시작할 수 있어요,1
104000003,하늘 트레이닝 상의,Sky Blue Track Top,空色のジャージトップス,[],무엇이든 시작할 수 있어요,1
104000004,빨강 트레이닝 상의,Red Track Top,赤いジャージトップス,[],무엇이든 시작할 수 있어요,1
104000005,리본 하복 상의,Ribbon Summer Top,リボン夏服トップス,[],리본으로 포인트를 준 셔츠,1
104000006,넥타이 동복 상의,Necktie Winter Top,ネクタイ冬服トップス,[],넥타이로 포인트를 준 동복,1
104000007,넥타이 하복 상의,Necktie Summer Top,ネクタイ夏服トップス,[],넥타이로 포인트를 준 셔츠,1
104000008,노랑 후드티,Yellow Hoodie,黄色のパーカー,[],친구들과 함께 입어요.,1
104000009,파랑 후드티,Blue Hoodie,青色のパーカー,[],친구들과 함께 입어요.,1
104000010,빨강 후드티,Red Hoodie,赤いパーカー,[],친구들과 함께 입어요.,1
104000011,레이스 캐미솔,Lace Camisole,レースキャミソール,[],시원하고 부드러운 재질의 나시,1
104000012,피코트,Pea Coat,ピーコート,[],클래식한 겨울 코트,1
104000013,꽈배기 니트,Cable Knit,ケーブルニット,[],포근한 재질의 가디건,1
104000014,멜빵 블라우스,Suspender Blouse,サスペンダーブラウス,[],귀여운 포인트가 가득해요,1
104000015,뷔스티에,Bustier,ビスチェ,[],시대를 초월한 클래식,1
104000016,왕관 티셔츠,Crown T-Shirt,王冠のTシャツ,[],편안하게 입을 수 있어요,1
104000017,하양 세일러 상의,White Sailor Top,白いセーラートップス,[],복고풍 감성의 교복 상의,1
104000018,검정 세일러 상의,Black Sailor Top,黒いセーラートップス,[],복고풍 감성의 교복 상의,1
105000001,동복 치마,Winter Skirt,冬服スカート,[],클래식한 라인의 동복 치마,1
105000002,노랑 트레이닝 하의,Yellow Track Pants,黄色のジャージパンツ,[],어디든 달려갈 수 있어요,1
105000003,하늘 트레이닝 하의,Sky Blue Track Pants,空色のジャージパンツ,[],어디든 달려갈 수 있어요,1
105000004,빨강 트레이닝 하의,Red Track Pants,赤いジャージパンツ,[],어디든 달려갈 수 있어요,1
105000005,하복 치마,Summer Skirt,夏服スカート,[],경쾌한 디자인의 하복 치마,1
105000006,동복 바지,Winter Pants,冬服パンツ,[],클래식한 라인의 동복 바지,1
105000007,하복 바지,Summer Pants,夏服パンツ,[],경쾌한 디자인의 하복 바지,1
105000008,청반바지,Denim Shorts,デニムショートパンツ,[],베이직한 디자인의 반바지,1
105000009,검정 레깅스,Black Leggings,黒のレギンス,[],베이직한 디자인의 레깅스,1
105000010,체크무늬 치마,Plaid Skirt,チェック柄スカート,[],풍성한 볼륨을 가진 치마,1
105000011,프릴 반바지,Frill Shorts,フリルショートパンツ,[],러블리한 디테일과 간편함,1
105000012,카고 반바지,Cargo Shorts,カーゴショートパンツ,[],자연스러운 편안함,1
105000013,검정 세일러 스커트,Black Sailor Skirt,黒のセーラースカート,[],복고풍 감성의 교복 하의,1
105000018,하양 세일러 스커트,White Sailor Skirt,白のセーラースカート,[],복고풍 감성의 교복 하의,1
106000001,레그워머 운동화,Leg Warmer Sneakers,レッグウォーマースニーカー,[],레그워머로 포인트를 준 운동화,1
106000002,러닝화,Running Shoes,ランニングシューズ,[],걸릴 건 아무것도 없어요,1
106000003,메리제인,Mary Janes,メリージェーン,[],에나멜 재질의 클래식한 구두,1
106000004,로퍼,Loafers,ローファー,[],에나멜 재질의 클래식한 구두,1
106000005,형광 슬리퍼,Neon Slippers,蛍光スリッパ,[],경쾌한 디자인의 슬리퍼,1
106000006,흰 나비 샌들,White Butterfly Sandals,白い蝶のサンダル,[],리본으로 포인트를 준 트랜디한 샌들,1
106000007,어그부츠,Ugg Boots,アグブーツ,[],따뜻하고 푹신한 겨울 필수템,1
