item_id,family,orb_group_id,tier,attack_range,damage,attack_interval_seconds,orb_max_hp,tier_scale,stat_tier_weight
107000003,orb,0,1,7.0,4,2.3,24,1,1
107000004,orb,0,2,8.0,7,1.6,56,1.35,1.75
107000006,orb,0,3,9.0,10,1.15,120,1.7,4
107000010,orb,10700001,1,2.5,12,0.8,24,1,1
107000011,orb,10700001,2,2.5,21,0.8,56,1.35,1.75
107000012,orb,10700001,3,2.5,30,0.8,120,1.7,4
107000020,orb,10700002,1,2.5,12,0.8,24,1,1
107000021,orb,10700002,2,2.5,21,0.8,56,1.35,1.75
107000022,orb,10700002,3,2.5,30,0.8,120,1.7,4
107000030,orb,10700003,1,2.5,12,0.8,24,1,1
107000031,orb,10700003,2,2.5,21,0.8,56,1.35,1.75
107000032,orb,10700003,3,2.5,30,0.8,120,1.7,4
