task_id,category,task_key,title_kr,title_en,title_jp,description_kr,description_en,description_jp,score,area_type,area_name_kr,object_type,interact_id,stamina_cost,duration_sec,required_item_id,required_item_name_kr,required_item_policy,consume_required_item,requires_target_alive,requires_target_lost,requires_maniito_alive,requires_gift_item,completion_event,chain_policy,round_limit,anti_farm_tags,success_log_kr
1001,general_job,JOB_CLASS_2_1_BLACKBOARD_CHALK,2-1 칠판의 이름 확인,Check Blackboard,,칠판 한쪽에 누군가의 이름이 적혀 있습니다. 필체가 이상하게 낯설지 않습니다.,Someone wrote a name on one side of the blackboard.\nThe handwriting feels strangely familiar.,,0.3,30,2-1,2,701000054,5,6,601000009,분필,keep,false,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:30|action:write|object:2|item:601000009,2-1 칠판의 이름을 확인했습니다.
1002,general_job,JOB_CLASS_2_1_CLEANING_CABINET_BAG,2-1 청소 도구함 확인,Check Cleaning Cabinet,,청소 도구함 안쪽에 종이가 구겨져 있습니다. 누군가 급히 숨겨놓은 것처럼 보입니다.,A crumpled paper is tucked inside the cabinet.\nIt looks like someone hid it in a hurry.,,0.3,30,2-1,10,701000069,5,6,301000024,하얀 비닐 봉투,consume,true,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:30|action:clean|object:10|item:301000024,2-1 청소 도구함을 확인했습니다.
1003,general_job,JOB_CLASS_2_1_ATTENDANCE_PENCIL,2-1 출석부 확인,Check Attendance Book,,출석부의 빈 칸 위에 흐린 선이 남아 있습니다. 그 뒤로 누군가의 이름이 보입니다.,Faint lines remain over a blank attendance slot.\nA name seems to show through behind them.,,0.3,30,2-1,1,701000055,5,6,301000009,샤프,keep,false,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:30|action:write|object:1|item:301000009,2-1 출석부를 확인했습니다.
1004,general_job,JOB_CLASS_2_1_POSTIT_SORT,2-1 포스트잇 확인,Check Sticky Notes,,책상 위 포스트잇이 일정한 간격으로 붙어 있습니다. 물건보다 사람의 동선을 표시한 것 같습니다.,"Sticky notes are placed at even intervals on the desk.\nThey seem to mark a person's route, not objects.",,0.2,30,2-1,7,701000060,5,6,301000008,포스트잇,consume,true,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:30|action:label|object:7|item:301000008,2-1 포스트잇을 확인했습니다.
1005,general_job,JOB_CLASS_2_1_LOCKER_TOOLBOX,2-1 사물함 확인,Check Locker,,사물함 손잡이가 닳아 있습니다. 누군가가 여러 번 열어 본 것 같습니다.,The locker handle is worn down.\nSomeone seems to have opened it again and again.,,0.3,30,2-1,9,701000067,5,6,301000021,공구함,keep,false,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:30|action:repair|object:9|item:301000021,2-1 사물함을 확인했습니다.
1006,general_job,JOB_GYM_BALL_BASKET_ROPE,강당 공 바구니 확인,Check Ball Basket,,공 바구니 주변에 밧줄이 풀려 있습니다. 방금 누군가 다녀간 것처럼 보입니다.,A rope lies loose near the ball basket.\nIt looks like someone passed by moments ago.,,0.3,13,강당,10,701000002,5,6,301000006,밧줄,keep,false,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:13|action:organize|object:10|item:301000006,강당 공 바구니를 확인했습니다.
1007,general_job,JOB_GYM_STAGE_CONDUCT,강당 무대 안내문 확인,Check Stage,,무대 안내문의 한쪽이 들떠 있습니다. 서투른 손길입니다.,One edge of the stage notice has lifted.\nThe touch that placed it there was clumsy.,,0.3,13,강당,11,701000001,5,6,202000003,행동 수칙 쪽지,consume,true,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:13|action:label|object:11|item:202000003,강당 무대 안내문을 확인했습니다.
1008,general_job,JOB_GYM_SPEAKER_BATTERY,강당 스피커 확인,Check Speaker,,스피커 표시등이 희미하게 깜빡입니다. 장비는 아직 꺼지지 않은 상태입니다.,The speaker light flickers faintly.\nThe equipment has not fully powered down yet.,,0.3,13,강당,11,701000001,5,6,201000004,AA 건전지,consume,true,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:13|action:repair|object:11|item:201000004,강당 스피커를 확인했습니다.
1009,general_job,JOB_GYM_BASKET_BAG,강당 공 바구니 주변 확인,Check School Task,,공 바구니 아래에 검정색 봉투가 접혀 있습니다.,A black plastic bag is folded under the ball basket.,,0.2,13,강당,10,701000002,5,6,301000017,검정 비닐 봉투,consume,true,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:13|action:clean|object:10|item:301000017,강당 공 바구니 주변을 확인했습니다.
1010,general_job,JOB_LIBRARY_CART_LEGALPAD,도서관 카트 확인,Check Cart,,반납 카트 위 목록이 비어 있습니다. 책들은 누가 먼저인지 모르게 섞여 있습니다.,The return cart list is blank.\nThe books are mixed so badly that no order remains.,,0.3,22,도서관,5,701000073,5,6,301000001,리갈 패드,consume,true,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:22|action:write|object:5|item:301000001,도서관 카트를 확인했습니다.
1011,general_job,JOB_LIBRARY_TRASH_WHITEBAG,도서관 휴지통 확인,Check Trash Can,,휴지통 안에 구겨진 종이들이 뒤섞여 있습니다.,Crumpled papers are mixed together inside the trash can.,,0.2,22,도서관,1,701000080,5,5,301000024,하얀 비닐 봉투,consume,true,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:22|action:clean|object:1|item:301000024,도서관 휴지통을 확인했습니다.
1012,general_job,JOB_LIBRARY_NOTEBOOK_SORT,도서관 기록 확인,Check Record,,도서 대출 기록의 몇 줄이 비어 있습니다.,Several lines are missing from the library loan record.,,0.3,22,도서관,6,701000065,5,6,301000001,리갈 패드,consume,true,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:22|action:write|object:6|item:301000001,도서관 기록을 확인했습니다.
1013,general_job,JOB_LIBRARY_CART_ROPE,도서관 카트 바퀴 확인,Check Cart,,카트 바퀴가 한쪽으로 틀어져 있습니다. 바퀴가 밀린 자국이 바닥에 남아 있습니다.,One wheel of the cart is twisted sideways.\nDragged wheel marks remain on the floor.,,0.2,22,도서관,5,701000073,5,6,301000006,밧줄,keep,false,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:22|action:repair|object:5|item:301000006,도서관 카트 바퀴를 확인했습니다.
1014,general_job,JOB_ADMIN_COPIER_PAPER,행정실 복합기 확인,Check Copier,,복합기 출력함의 용지가 비뚤게 쌓여 있습니다. 마지막 장에 온기가 남아 있습니다.,The paper in the copier tray is stacked crookedly.\nThe last sheet is still warm.,,0.3,10,행정실,6,701000082,5,6,301000001,리갈 패드,consume,true,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:10|action:organize|object:6|item:301000001,행정실 복합기를 확인했습니다.
1015,general_job,JOB_ADMIN_WINDOW_ERASER,행정실 창가 확인,Check Window,,창가에 눌린 자국이 희미하게 남아 있습니다. 누군가가 오래 있었던 것 같습니다.,A pressed mark remains faintly by the window.\nSomeone seems to have stayed here for a while.,,0.2,10,행정실,6,701000082,5,6,301000010,지우개,keep,false,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:10|action:clean|object:6|item:301000010,행정실 창가를 확인했습니다.
1016,general_job,JOB_ADMIN_KEY_SAMPLE_TOOLBOX,행정실 자물쇠 확인,Check Lock,,자물쇠의 번호가 조금씩 어긋나 있습니다.,The numbers on the lock are slightly misaligned.,,0.3,10,행정실,4,701000068,5,6,301000021,공구함,keep,false,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:10|action:repair|object:4|item:301000021,행정실 자물쇠 견본을 확인했습니다.
1017,general_job,JOB_ADMIN_ENVELOPE_LABEL,행정실 봉투 확인,Check Envelope,,압수품 봉투의 라벨이 비어 있습니다. 이름을 적다가 멈춘 것처럼 보입니다.,The confiscated envelope label is blank.\nIt looks as if someone stopped while writing a name.,,0.2,10,행정실,12,701000079,5,6,301000008,포스트잇,consume,true,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:10|action:label|object:12|item:301000008,행정실 봉투를 확인했습니다.
1018,general_job,JOB_STAFF_MINUTES_PENCIL,교무실 회의록 확인,Check Meeting Notes,,회의록 빈 칸에 펜으로 눌린 자국이 남아 있습니다. 낯선 필체입니다.,A pressed pen mark remains in a blank spot of the minutes.\nThe handwriting is unfamiliar.,,0.3,12,교무실,7,701000011,5,6,301000009,샤프,keep,false,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:12|action:write|object:7|item:301000009,교무실 회의록을 확인했습니다.
1019,general_job,JOB_STAFF_CABINET_KEYMOLD,교무실 보관함 확인,Check Cabinet,,보관함 안쪽 라벨이 뜯겨져 있습니다.,The label inside the cabinet has been torn away.,,0.3,12,교무실,6,701000010,5,6,601000005,마스터 키 본,keep,false,false,false,false,false,interact_object,chain_on_complete,unlimited_until_score_cap,area:12|action:organize|object:6|item:601000005,교무실 보관함을 확인했습니다.
