id,title,detail,behavior,require_count,reward_item_list,next_id_list,next_require
100000001,마지막 인사,"202X년 초가을,\n도서관에서 잠깐 졸다가 깨어난다.\n가지고 있던 핸드폰을 켜 확인하니, 오후 9시다.\n이 때, 지잉 하는 진동음과 함께 메세지가 도착한다.\n\n엄마인 것 같다.\n메세지를 확인하고 답장을 보내자.",문자 메시지 확인,1,[],[100000002],[]
100000002,학교 밖으로,"당황스러운 문자에 \n답장을 보내려 하지만 송신불가만 뜬다.\n통신이 되지 않는 것 같은데...\n\n일단은 집으로 돌아가야겠다.\n중앙 계단으로 내려가, 1층 현관으로 가자.",중앙 계단으로 내려가 현관으로 이동,1,[],[100000003],[]
100000003,깨어난 곳,"1층은 완전한 어둠에 뒤덮여 있었다.\n그리고... 기억이 나지 않는다.\n\n거짓말 같이 나는 다시 도서관에 있다.\n꿈이었나 싶지만 핸드폰의 문자는 여전히 있다.\n\n아까의 여파인지 몸에 힘이 남아있지 않다.\n걷기 조차 힘들다.\n\n뭐라도 먹을 수 있으면 좋겠는데...",휴지통 탐색,1,[],[100000004],[]
100000004,허기 해결,"브윙칩을 발견했다.\n휴지통에서 발견했지만, 포장도 뜯기지 않고 멀쩡하다.\n\n먹으면 걸을 힘이 생길 것 같다.",브윙칩으로 체력 회복,1,[],[100000005],[]
100000005,우리 반으로,"아까 1층에서 마주한 건 단순한 어둠이 아니었다.\n무언가 불을 밝힐 것이 필요할 것 같다.\n\n일단 도서관을 나서서,\n복도 맨 끝의 우리 반으로 이동하자.",복도 끝 교실까지 이동,1,[],[100000006],[]
100000006,남겨둔 물건,"달빛이 창문을 통해 교실로 희미하게 들어온다.\n적어도 2층은 완전한 어둠은 아니다.\n\n내 책상과 의자,\n그리고 사물함을 확인해보자.",교실 내부 탐색,3,[],[100000007],[]
100000007,반가운 만남,"친구가 아직 학교에 남아 있다.\n그리고 나와 마찬가지로,\n집에 갈 수 없어 곤란해 하고 있다.\n\n친구는 손전등을 가지고 있지만\n건전지가 충분하지 않다.\n\n여분을 확보하기 위해\n함께 1층에 있는 행정실에 가 보자.",친구와 함께 행정실로 이동하기,1,[],[100000008],[]
100000008,고요한 수색,"행정실은 고요하기만 하다.\n선생님들은 없고 책상과 사물함, 사무용품들만 남아있다.\n다들 퇴근하신 듯 하다.\n\n일단 구석구석 살펴보자.\n유용한 물건을 찾을 수 있을지도 모른다.",행정실 내부 탐색,3,[],[100000009],[]
100000009,희망의 빛,"손전등과 건전지를 발견했다.\n\n손전등은 내구도가 부족한 상태이다.\n건전지를 손전등에 넣어 충전해보자.",손전등 충전하기,1,[],[100000010],[]
100000010,강당을 향해,"살펴볼 만한 부분들은 다 봤고, 손전등도 얻었다.\n\n이제 강당으로 이동해보자.\n넓기도 하고, 누울 수 있는 매트도 있을 것이다.\n\n강당은 별관에 있다.\n본관 밖으로 나가봐야 할 것 같다.",본관 밖 강당으로 이동,1,[],[100000011],[]
100000011,휴식처 찾기,"강당에 도착한 순간 지진이 일어난다.\n집으로 돌아가는 것 보단,\n오늘 밤은 여기서 지내는 편이 좋을 것 같다.\n\n무대 왼 편의 창고에서\n하룻 밤 잘 수 있는 용품들을 수집해보자.",체육 창고 탐색,4,[],[],[]
